id_libro,resumen
pap-not-1,"Resumen 1"
cuad-x-1,"Resumen 2"
pap-tex-6,"Resumen 3"
pap-tex-10,"El presente texto está dirigido a estudiantes del primer semestre de carreras en ciencias exactas. Contiene temas que los introducen al álgebra y busca incorporar, mediante su tratamiento, una descripción minuciosa y rigurosa de los procedimientos de demostración y deducción necesarios para formar a los estudiantes en el pensamiento matemático abstracto. Es un texto con un grado elevado de rigor, claridad y pedagogía, que puede ser utilizado de manera autodidacta o como un complemento necesario para las clases en aula. Este tomo está conformado por cuatro capítulos, cada capítulo contiene bloques de ejercicios cuidadosamente seleccionados. En ellos se desarrolla la construcción de los números enteros y temas relacionados con esta estructura numérica. Una vez expuesta dicha construcción, se describen a detalle las características que lo llevan a ser un dominio entero."
pap-tex-1,"Resumen 5"
pap-tex-4,"Resuemn 6"
pap-mix-1,"Resumen proximamente"
pap-ico-3,"Resumen proximamente"
pap-tex-2,"Resumen proximamente"
pap-tex-3,"Resumen proximamente"
pap-tex-5,"Resumen proximamente"
pap-tex-7,"Resumen proximamente"
pap-tex-9,"Resumen proximamente"
pap-tex-10,"Resumen proximamente"
pap-tex-11,"Resumen proximamente"
pap-tex-12,"Resumen proximamente"
pap-not-1,"Resumen proximamente"
pap-not-2,"Resumen proximamente"
pap-not-3,"Resumen proximamente"
pap-act-1,"Resumen proximamente"